G R AH M	G R U M
S K AH T	S C U T T
F R IY K S	F R E A K S
T AE L AH HH AE S IY AH N	T A L L A H A S S E A N
S K UW P	S C O O P
B ER CH	B E R T C H
T UW NG EY T	T U N G A T E
IY OW V IY N IY	I O V I N E
K AO R AH N	K O R E N
D EH L T EH K	D E L T E C
D AY R EH K T IH V Z	D I R E C T I V E S
P R AH JH EH K SH AH N Z	P R O J E C T I O N S
W OW L F AH L	W O E L F E L
SH L EY Z	S H L A E S
T EH K N AA M IH K	T E C H N O M I C
F EY G AH N	F E A G A N
N AA N EY T IH V Z	N O N N A T I V E S
V EH L V IY T AH	V E L V E E T A
G R IH B AH L Z	G R I B B L E S
M AA T AH Z	M A T A S
V IY N AH	V I N A
D IY N	D E A N
T EH M P AH L Z	T E M P L E S
HH AE L T AH M	H A L T O M
S IH Z L IY	S I S L E Y
V EY S	V A S E
D IH S M EY IH NG	D I S M A Y I N G
K R AY F AH L Z	K R E I F E L S
S AY N AH N	S Y N A N
R AE D K L IH F	R A D C L I F F E
B IH D W EH L	B I D W E L L
W AY L D Z	W I L D E S
M AE T AH K S	M A T T O X
M AH S K AA CH OW	M U S C O C H O
D IH L AA P T AH S AA R AH S	D Y L O P T I S A U R U S
EY L S AH	A I L S A
HH IH NG AH S	H I N G I S
B L AA N D AH S T	B L O N D E S T
SH AE N S	S C H A N Z
M OW Z L IY	M O S L E Y
B EH N IH F IY L D	B E N N E F I E L D
D AH B R IY M IH R	D O B R I M I R
AH N	U N
K R OW N	K R O H N
M AE NG K	M A H N K E
B OW N HH AO F	B O H N H O F F
S AE N D S T AO R M Z	S A N D S T O R M S
B AO B AH L Z	B A U B L E S
K AE T N ER	K A T T N E R
IH N T ER AH P T IH NG	I N T E R R U P T I N G
HH OW S EY IY N IY	H O S S E I N I
L AE N D G R EH N	L A N D G R E N
K R AE M P	K R A M P
G AO R D IY	G O R D I E
P EY JH ER	P A G E R
M IY T IY AO R AH L AA JH IH K AH L	M E T E O R O L O G I C A L
K AH S T ER D	C U S T A R D
L AE N D AH S	L A N D E S S
V IH N IH K	V I N N I C K
P AY AH S	P I U S
AA R JH AH N T IY N AH	A R G E N T I N A
EH S K IY	E S K E Y
M AA N T EH L OW	M O N T E L L O
F AA S T ER D	F O S T E R E D
R OW S T ER	R O A S T E R
S AY D ER AO G R AH F ER	S I D E R O G R A P H E R
D IH K IY AA R AH	D I C H I A R A
L AE P IH D IH S	L A P I D U S
R AA M Y AH L AH S	R O M U L U S
L EY V L IY	L A V E L Y
M EY N IY AE K S	M A N I A C S
IH N F IH D EH L	I N F I D E L
K IH K B AE K S	K I C K B A C K S
OW V ER B ER D AH N D	O V E R B U R D E N E D
K OW P IH NG	C O P I N G
EH K ER S AH N	E C K E R S O N
F AO R T IY N	F O U R T E E N
B AH K HH AO R N	B U C K H O R N
T AE CH	T A T S C H
AE D M IH SH AH N	A D M I S S I O N
CH AH NG	C H U N G
G OW B AH L Z	G O E B B E L S
W UH L F	W U L F
K AO R IH D ER Z	C O R R I D O R S
AO T R IY	A U T R E Y
EH N T ER P R AY Z	E N T E R P R I S E
HH EH D S EH T	H E A D S E T
Y AE S IH R	Y A S S I R
S IY P AO R T S	S E A P O R T S
K AE V ER N AH S	C A V E R N O U S
D IH L IH N IY EY T IH NG	D E L I N E A T I N G
S AH B S T R EY T	S U B S T R A T E
K AH CH IH N S K IY	K U C H I N S K I
HH AA R D R IH K	H A R D R I C K
B EH R AY T S	B A R I T E S
G ER CH IH N S K IY	G A R C Z Y N S K I
S AA IY F	S A I F
K EY	C A Y
F R AE N T AH K AH L IY	F R A N T I C A L L Y
B IY D ER M AH N	B I E D E R M A N
EH R AH G AH N T	A R R O G A N T
M EH R EH L IY	M A R E L L I
P IH K ER AH L	P I C K E R E L L
P EH P T IH K	P E P T I C
S IY Z	S E A S E
N AE T	N A T
HH AE R AH N	H A R R E N
T AA M AH N IH K	T O M A N E K
S T R EY T S	S T R A I T S
B UW JH	B U E G E
T R OW TH	T R O T H
B IH B UW T	B E B O U T
R IY N OW S OW	R E Y N O S O
EH K AH	E K A
T AE R OW	T A R O T
S IY G AH L Z	S E A G U L L S
JH EH T S T R IY M Z	J E T S T R E A M S
SH IH S AH L ER	S H I S L E R
IH N T AH M EY T IH D	I N T I M A T E D
M AA S EH K	M A S E K
W EH L S ER	W E L S E R
B AA R B Z	B A R B S
K AW G IH L	C O W G I L L
R EH B AH L	R E B E L
AY AH N AY Z ER Z	I O N I Z E R S
S AO SH AE N K	S A W S H A N K
S T EH F AH N AA P AH L AH S	S T E P H A N O P O U L O S
AE N T HH IH L Z	A N T H I L L S
IY EY P IY	E A P
V AE N D AE L AH N	V A N D A L E N
SH L AY M ER	S C H L E I M E R
D AE N Z AH	D A N Z A
R IH V ER W EY	R I V E R W A Y
S L AA B	S L O B
T R UW TH	T R U T H
AA B UW D	A B O U D
N AH T AH L	N U T T A L L
SH AA R B AH N OW	C H A R B O N E A U
S K AA L ER L IY	S C H O L A R L Y
B R IH T IY AH N	B R I T T I A N
AA R G Y UW AH B L IY	A R G U A B L Y
AE Z M AA R AH	A S M A R A
HH OW T EH L Y ER Z	H O T E L I E R S
M AA R G R EH T	M A R G R E T
B AE S IH N	B A S S I N
L AO R	L O A R
D IH L IH V ER AH N S	D E L I V E R A N C E
R IY P EY M AH N T S	R E P A Y M E N T S
EH M AH G R EY SH AH N	E M I G R A T I O N
W EY T	W A Y T
Y UW T AH L AH Z EY SH AH N	U T I L I Z A T I O N
R AE N AH	R A N A
V AE N S K OY	V A N S C O Y
TH AO R M AH N D	T H O R M O N D
M EH M B ER SH IH P	M E M B E R S H I P
IH N HH EY L AH N T	I N H A L A N T
Z AE B R IH S K IY	Z A B R I S K I E
AH P AA L OW	A P O L L O
M AA R T ER Z	M A R T Y R S
R EH S IH T ER	R E S E T A R
B W EH	B U E
R IY T R EY N	R E T R A I N
AH Z EH L	O Z E L L E
K R IH P T IH K	C R Y P T I C
N UW Z P R IH N T	N E W S P R I N T
S K UW P S	S C O O P S
AH D AH L T ER IY	A D U L T E R Y
AH P AO L	A P P A L L
N EY	N E J
T AA G L IH NG	T O G G L I N G
M OW G OW P AH	M O G O P A
K EH N D R IH K S	K E N D R I C K S
P AH S	P U S
SH AE NG G R IY	S H A N G R I
AE T AH M Z	A T O M S
AE M AH D EY AH S	A M A D E U S
AH B Z AO R B Z	A B S O R B S
K AE P AH T AH L AY Z IH Z	C A P I T A L I Z E S
S L IH D	S L I D
P IY T S AH	P I Z Z A
HH AA M	H O M M E
P AE S AH JH AH Z	P A S S A G E S
G R EY JH	G R A G E
G R UW P OW	G R U P P O
K AO R EH L	C O R E L
F UH T F AO L	F O O T F A L L
L IH S B IH TH	L I S B E T H
D AO R N IH R	D O R N I E R
AO NG	A U N G
R AA D IH HH IY V ER	R O D E H E A V E R
EH R AH D R OW M Z	A E R O D R O M E S
L AY K AH N D	L I K E N E D
L OW B EH L OW	L O B E L L O
S AA L IH D ER Z	S O L I D E R S
T R IY V EH D IY	T R I V E D I
D IY V IY D IY	D V D
AE L W AH L IY D	A L W A L E E D
B R IY CH T	B R E A C H E D
AH N T R IY T AH B AH L	U N T R E A T A B L E
S AE N D ER Z	S A N D E R S
R AY DH IH NG	W R I T H I N G
F IH SH T	F I S H E D
S AO M IH L Z	S A W M I L L S
IH K S P IH R IY AH N S T	E X P E R I E N C E D
T R UW HH IY OW	T R U J I L L O
F AH NG K SH AH N AE L IH T IY	F U N C T I O N A L I T Y
AH P T R EH N D	U P T R E N D
B EH R IY AH M	B A R I U M
D AA B IH N	D O B B I N
D UW P L AH K AH T	D U P L I C A T E
D IH Z AY N D	D E S I G N E D
CH AA P	C H O P P
B AA D AH L IY	B O D I L Y
M AH K L EH M ER	M C L E M O R E
M OW B EY	M O B A Y
D AE S B ER G	D A S B U R G
T ER B OW CH AA R JH	T U R B O C H A R G E
K R IH M AH N AH L AH Z EY SH AH N	C R I M I N A L I Z A T I O N
M AA N AH S T EH R IY Z	M O N A S T E R I E S
G R EY N JH	G R A N G E
G UW G L IY UW T S AH	G U G L I U Z Z A
D IH V IH N CH IY	D E V I N C I
M AA JH L IH N	M O D G L I N
B EH L G ER	B E L G E R
R AH S IH D IH V IH S T S	R E C I D I V I S T S
N IH R	K N E E R
B L EH N D AH D	B L E N D E D
M EH N D	M E N D
M AO R G AA R T	M O R G A R T
M AH K EY	M A C K A Y
AH L EH R	A L A I R
L AO D IY CH IY N AH	L A U D I C I N A
S K AO R	S C O R E
EH M IH L IY	E M I L Y
ER P S	E R P S
SH R AY F AH L Z	S C H R E I F E L S
EH G P L AE N T S	E G G P L A N T S
G UH D ER	G O O D E R
P R OW HH IH B AH T IH V L IY	P R O H I B I T I V E L Y
S AE JH AH T AH L	S A G I T T A L
L AA K AH N	L O C K E N
B AA B IH K	B A B I C
B ER G OY N	B U R G O Y N E
L IH G AH N D	L I G A N D
P EH T R IY L IY	P E T R I L L I
F AA R B ER	F A R B E R
K AH D IY Z	C A D I Z
K L IH K ER	C L I C K E R
IH N T EH N S AH F AY D	I N T E N S I F I E D
L IY N HH AA R T	L I E N H A R T
K R EH D IY T B AE NG K	K R E D I E T B A N K
OW HH EY V ER	O H A V E R
AO L IH NG	A L L I N G
F Y UW D AH L IH Z AH M	F E U D A L I S M
N AY T ER	N I G H T E R
EH N T ER P R AY Z IH Z	E N T E R P R I S E S
M AA R SH AH L D	M A R T I A L E D
G IH L B R EH TH	G I L B R E A T H
B L AA K	B L O K
Z AY AH N IH S T	Z I O N I S T
F AA TH	F O T H
K AO R N IH T	C O R N E T T
G R AY T S	G R I T E S
F UH T W AO L	F O O T W A L L
S AH L AE S IY	S E L A S S I E
IH N T AH JH ER Z	I N T E G E R S
D EH T AH N EY SH AH N	D E T O N A T I O N
HH AW S W AA M IH NG	H O U S E W A R M I N G
AA S T ER HH AW T	O S T E R H O U T
S AE L IH K	S A L I C K
N AO	G N A W
T UW TH L AH S	T O O T H L E S S
V AA N Z IY	V A N Z E E
K ER T EY L IH NG	C U R T A I L I N G
P R IY B AY AO T IH K	P R E B I O T I C
B L AE K L IH S T IH NG	B L A C K L I S T I N G
S AA L V IY	S A L V I
AH B AH Z	A B U Z Z
M AA R K S IH Z AH M	M A R X I S M
HH AA L AH W EY	H O L L A W A Y
IH N T ER K AH N EH K T	I N T E R C O N N E C T
TH ER L OW	T H U R L O W
JH AE S IH N TH	J A C I N T H E
R AY AH N	R Y E N
K AA NG G R AH G EY SH AH N AH L	C O N G R E G A T I O N A L
D AE T S AH N	D A T S U N
S IY B ER G ER	S E E B E R G E R
T AA R P IY	T A R P Y
B L AA M G R EH N	B L O M G R E N
R IH V AY V AH L	R E V I V A L
Z IH M ER M AH N	Z I M M E R M A N N
G R IY B	G R I E B
M EH R IY	M E R R Y
K L AA K	K L O C K
P EY P AH L	P A P A L
Y ER IY	U R I E
IH N T ER S EH K SH AH N	I N T E R S E C T I O N
D IH F AA R JH IH Z	D E F A R G E S
P R AA K AH S IY N IY	P R O C A S S I N I
K AA W ER	C O W H E R
S OW L D AH N	S O L D A N
D EH L AH HH AH N T IY	D E L A H U N T Y
M AH K T EY G	M C T A G U E
JH IH G L IY OW	G I G L I O
IH V AE L Y UW EY T S	E V A L U A T E S
HH AH L S L AH N D ER	H U L S L A N D E R
B EH D OW AH N Z	B E D O U I N S
HH EY W ER D	H E Y W A R D
HH IH G L IY	H I G L E Y
M EH L AH N D ER	M E L A N D E R
P AE M P ER	P A M P E R
P AW ER P IY S IY	P O W E R P C
P AO S T IH R Y ER Z	P O S T E R I O R S
K AO D AH L	C A U D I L L
R AE T K OW	R A T K O
N AH T ER	N U T T E R
K L EH M P	K L E M P
M IH S T	M I S S E D
HH AY T AW ER	H I G H T O W E R
EH JH AH K EY T ER Z	E D U C A T O R S
K L IH NG ER	K L I N G E R
K AA V AH K	K O V A C K
AA R D L IY	A R D L E Y
K AH N AE S T AH	C A N A S T A
V ER K AH L AH N	V E R K U I L E N
F Y UW Z AH Z	F U S E S
EH L S IY	E L S E Y
K R AE F T S M AH N	C R A F T S M A N
OW L S AH N	O H L S E N
HH EH P ER IH N	H E P A R I N
F AH S	F U H S
D EH L HH EY Z	D E L H A I Z E
JH IH L T IH D	J I L T E D
SH W IY N AA R D	C H O U I N A R D
B AH G AH T S K IY	B O G U C K I
G AH B EH L EY	G A B E L E
F IH Z AH L D	F I Z Z L E D
B IH F AO L Z	B E F A L L S
G L AE S K AA K	G L A S S C O C K
T IH M	T I M
R EH D L IH K	R E D L I C H
N EH G L IH JH AH N T L IY	N E G L I G E N T L Y
L AA T S	L O T S
AH D V AE N S	A D V A N C E
G R IY V ER Z	G R I E V E R S
M AE S K AH T	M A S C O T
S EY L Z	S A L E S
K EH R IH K	K E R R I C K
JH IY AH M EH T R IH K	G E O M E T R I C
M EH R IH T	M E R R E T T
AH N IH N SH UH R D	U N I N S U R E D
AH N S EH L	A N C E L
F IH L AH B AH S T ER	F I L L I B U S T E R
K ER K ER	K E R C H E R
P AO Z D	P A U S E D
T AH N AH L Z	T U N N E L S
N UH R AA N Z	N E U R O N S
AY D R AA P ER	E Y E D R O P P E R
AE M IH N T	A M E N T
R AH M IH JH IH NG	R U M M A G I N G
M EH L D R AH M	M E L D R U M
S AO D AH M AY Z IH NG	S O D O M I Z I N G
T AY M SH EH R	T I M E S H A R E
R IY IH N V IH G ER EY T IH NG	R E I N V I G O R A T I N G
M AH N IH P Y AH L EY T IH D	M A N I P U L A T E D
B IY K OW	B E C O
HH EH N IH S IY	H E N N E S S E E
T EH R UW K OW	T E R U K O
G OW L D F IY L D Z	G O L D F I E L D S
Y UW R EY L P AH S	E U R A I L P A S S
G R IY Z	G R I E S E
D AA L F AH N	D O L P H I N
Y UW N IH S EH N T ER	U N I C E N T E R
W AO L ER S T AY N	W A L L E R S T E I N
M AH G IH L AH S	M C G I L L I S
TH EY L Y AH	T H A L I A
F EY L IH NG Z	F A I L I N G S
AH K EY D IY AH	A C A D I A
HH AA P AH L	H O P P E L
M IH S T L ER	M I S T L E R
S R IY N IH V AA S	S R I N I V A S
W IH R D AH S T	W E I R D E S T
V EH R IY	V A R Y
P Y AO NG Y AE NG	P Y O N G Y A N G
T R EH Z AH	T R E Z Z A
K R EH D AH B AH L	C R E D I B L E
S T ER M AH N Z	S T U R M A N S
P R IY D IH S P OW Z IH NG	P R E D I S P O S I N G
L EH P ER	L E P P E R
F EY TH S	F A I T H S
R IH K R UW T ER Z	R E C R U I T E R S
R EH D	R E A D E
W UH L AH M Z	W O O L U M S
B OW L M AH N	B O H L M A N N
K AW N T ER L AY F	C O U N T E R L I F E
D IY AE N AH	D E A N A
D IH S IH S T	D E S I S T
S T R IY T IY	S T R E E T Y
K L IH K T	C L I C K E D
P R AH M OW T ER	P R O M O T E R
SH IY N AH	S C H E N A
EH R ER F AH L	E R R O R F U L
L AE L IY ER	L A L L I E R
K R AE CH	K R A C H
R EY B AH L	R A I B L E
D AH B CH EH K	D U B C E K
HH IY G EH R AH	H I G U E R A
F IH NG K AH N	F I N K E N
D R EH SH	D R E S C H
D EY L AY T S	D A Y L I G H T S
S T AE M AH T IY	S T A M A T Y
D AY V ER JH IH Z	D I V E R G E S
S IY V ER	S I E V E R
S T EH N HH OW L M	S T E N H O L M
TH AW Z AH N D TH	T H O U S A N D T H
K IH S T	K I S S E D
M AA R T ER	M A R T Y R
M EY D	M A D E
Z AY L AA JH IH K	X Y L O G I C
AY K B ER G	E I C H B E R G
S P EH K T R AH M Z	S P E C T R U M S
M AH N Z ER	M U N Z E R
IH R Z	E A R S
N OW V AO S T IY	N O V O S T I
TH AH N D ER K AE T S	T H U N D E R C A T S
JH IH N L IY	G I N L E Y
K AE M K OW	C A M C O
K AA R M OW N IY	C A R M O N Y
K AO R K ER AH N	C O R C O R A N
HH AY P ER K IH N EH T IH K	H Y P E R K I N E T I C
W EH Z L IY AH N	W E S L E Y A N
D R IH F T S	D R I F T S
L IH G AH CH EH V	L I G A C H E V
AY K AH N AA G R AH F IY	I C O N O G R A P H Y
D AA M IY K OW	D A M I C O
T W IH G Z	T W I G S
K AH N S AA L IH D EY T S	C O N S O L I D A T E S
D AE M P AH N	D A M P E N
IH P K OW	I P C O
P R AH N OW	P R U N E A U
D AW TH AH T	D O U T H A T
F AA R M D	F A R M E D
M EH G AH S T AO R	M E G A S T O R E
B AW M G AA R T	B A U M G A R T
L AE NG K AH SH AY R	L A N C A S H I R E
JH EH N ER AH S	G E N E R O U S
AH L AH T AO F S K IY	U L A T O W S K I
AH G EY P	A G A P E
IH N ER K OW	I N E R C O
AH B L EY Z	A B L A Z E
M AA K S	M O C K S
AE G AH M AE T S UW	A G E M A T S U
M AH K AO R T	M C C O R T
W OY N ER AW S K IY	W O J N A R O W S K I
P R OW T AH K AO L Z	P R O T O C O L S
S AH B S IH D IY EH R IY Z	S U B S I D I A R I E S
EH P IH NG ER	E P P I N G E R
D UW	D U
IY ER M AH N	E Y E R M A N
HH AW G AH N	H O U G E N
HH AY AH T	H Y A T T
M AE K AH L R OY	M C E L R O Y
G R EH W EH L	G R E W E L L
D AH N D	D U N N E D
JH AA N D R OW	J O H N D R O W
T IH B ER AH N	T I B E R O N
OW V AH M	O V U M
K L IH P ER	C L I P P E R
D EH L G AO D IY OW	D E L G A U D I O
TH AH M D	T H U M B E D
Y AA R B ER	Y A R B E R
V IY S K OW N T IY	V I S C O N T I
K Y UW Z IH K	C U S I C K
EH TH AY AA L	E T H Y O L
AH D R IH F T	A D R I F T
K AA Z IY AO L	K O Z I O L
L EH M K IY	L E M C K E
K AA L AH N	C O L L E N
N AA K AH L	K N O C H E L
CH ER N EH NG K OW	C H E R N E N K O
K ER K JH IY AH N	K U R K J I A N
P UW R M AH N	P O O R M A N
K AA SH IY Y AA M AH	K A S H I Y A M A
T R EH S T	T R E S T
AH T ER AH N S IH Z	U T T E R A N C E S
R AY N	R H Y N E
W IH N Z ER	W I N D S O R
AA L V ER S AH N	A L V E R S O N
K AA R N EY SH AH N Z	C A R N A T I O N S
AH B S T EY N	A B S T A I N
IH N S T AH G EY T IH NG	I N S T I G A T I N G
B EY S B AO L Z	B A S E B A L L S
B OW T L IH F T S	B O A T L I F T S
IH N S IH ZH AH N	I N C I S I O N
L AE T S AH N	L A T S O N
K R IH P AH L Z	C R I P P L E S
AE M AH B EH L	A M A B E L
M AH G AA N AH G AH L	M C G O N I G L E
B IH F AH L	B I F F L E
N AH P CH AH L	N U P T I A L
B R IY T S K IY	B R I E T Z K E
AH S EY L AH N T S	A S S A I L A N T S
K OW AH L EH S IH NG	C O A L E S C I N G
S IY D Z	C E D E S
L AY G AH Z	L I G A S
S EH L IH G M AH N	S E L I G M A N
AE L P ER Z	A L P E R S
AA R EH D OW N D OW	A R R E D O N D O
M AH L EH S T ER Z	M O L E S T E R S
D AA N IY	D O N N I E
Z EY N IY AH S T	Z A N I E S T
OW V ER T ER N D	O V E R T U R N E D
SH UW M EY T	S H U M A T E
K IH L B AO R N	K I L B O R N E
B AA R N AH B IY	B A R N A B Y
IH M P R EH SH AH N AH S T	I M P R E S S I O N I S T
S EH N T AH N EH R IY	C E N T E N A R Y
P ER CH AH K	P E R T S C H U K
Y AH V AH N AA V IH K	J O V A N O V I C
S IH M IY N	S I M I E N
S T R UW B AH L	S T R U B E L
S AH F R AH JH IH S T	S U F F R A G I S T
JH AH N AA T AH	J A N N O T T A
CH EH R IY	C H E R Y
M EY M	M A M E
AH F AY N IH NG	A F F I N I N G
K R EH L	K R E L L
S IH M P AH TH AY Z D	S Y M P A T H I Z E D
T ER B OW Z	T U R B O S
B IH F AH D AH L Z	B E F U D D L E S
K AH CH	K U T C H
L AO R AH	L O E R A
K ER S T	C U R S E D
N UW Z W AY R Z	N E W S W I R E S
D AO R ER	D O R E R
P L AE T OW	P L A T E A U
W AY N HH AY M	W I N E H E I M
B ER K	B O U R K E
OW B R AY AH N T	O B R Y A N T
M AE N R IY	M A N R Y
V IH T K AO F S K IY	W I T K O W S K I
N OW T AO R IY AH S L IY	N O T O R I O U S L Y
N IY SH IY Y AA M AH	N I S H I Y A M A
K ER AA B ER EY T IH D	C O R R O B O R A T E D
L IH L	L I L L
S UW CH ER IH NG	S U T U R I N G
T R EH P T OW	T R E P T O W
N UW Z P EY P ER Z	N E W S P A P E R S
G OW IH NG	G O I N G
G R EH T S K IY	G R E T Z K Y
JH AA K IY Z	J O C K E Y S
D AH N S T	D U N S T
IH N T EH N S AH T IY	I N T E N S I T Y
T AE N AH N B AW M	T A N E N B A U M
AY AH F R EY T IY	I A F R A T E
IH N HH AW S	I N H O U S E
AH S AY N D	A S S I G N E D
L OW Y AH K AA N OW	L O I A C A N O
W IH T CH ER CH	W H I T C H U R C H
B AH CH	B U C H
V IH D IY OW D IH S K	V I D E O D I S K
HH UW Z ER	H O O S E R
SH ER EH L	S H I R R E L L
AA N S EH L M AH	A N S E L M A
S R AH P S K AH	S R P S K A
F L OW T IH L AH	F L O T I L L A
K EY M B R IH JH	C A M B R I D G E
T ER T AH L N EH K S	T U R T L E N E C K S
IH N T ER D IY L ER	I N T E R D E A L E R
S IH N D IY	C I N D Y
W AO L B ER N	W A L B U R N
IH N S T IH T UW SH AH N AH L IH Z EY SH AH N	I N S T I T U T I O N A L I Z A T I O N
S AA V EY L	S A V E L L
HH OW M P AO R T IH NG	H O M E P O R T I N G
B AE R AH M EH T R IH K	B A R O M E T R I C
P L AH NG K ER Z	P L U N K E R S
N IH K AH L Z	N I C K L E S
W EY N IH K	W A N E K
P AH Z L ER	P U Z Z L E R
M AE K W IH L AE D ER AH	M A Q U I L A D O R A
K L AW D Z	C L O U D S
G R EH G AO R IY AH	G R E G O R I A
K AA N T R AH D IH K T IH NG	C O N T R A D I C T I N G
K AH P R IH SH AH S	C A P R I C I O U S
T AE L IY HH OW	T A L L Y H O
B L IH K S T	B L I X T
B R AW Z D	B R O W S E D
R EY T Y ER	R A T I E R
IH D OW N IY	I D O N E Y
T R IY T AO P S	T R E E T O P S
V AE K Y UW M Z	V A C U U M S
K AO R K S	C O R K S
G R IY F	G R E F E
K R IY G	K R E I G
B AA L IY Z	B A L I S
P L AH M P T	P L U M P E D
D AY AH N	D I O N
P IY S M EY K ER	P E A C E M A K E R
V IY AE N AH	V I A N A
IY Z M AH N T	E A S E M E N T
F IH L AH P IY N OW	F I L I P I N O
AE N T AO N	A N T O N
HH EH N M AH N	H E N M A N
N IH M F	N Y M P H
TH R AE SH IH NG	T H R A S H I N G
K W EY Z AA R	Q U A S A R
F AH M IH L Y ER	F A M I L I A R
P AA L AA D IY N OW	P A L L A D I N O
K AH S T AH D IY	C U S T O D Y
D EH M	D E H M
K AE S ER OW L	C A S S E R O L E
CH AA M ER Z	C H A L M E R S
M AA R JH AH N Z	M A R G I N S
M AA S B R AH K ER	M O S B R U C K E R
D IH P L OW M AH Z	D I P L O M A S
P UW CH ER EH L IY	P U C C I A R E L L I
B R UW D	B R E W E D
Z AA NG G AA R IY	Z A N G A R I
S P EH K Y AH L EY T ER Z	S P E C U L A T O R S
S AO F T L IY	S O F T L Y
T AH T W AY L ER	T U T W I L E R
M AO R F IH S	M O R P H I S
G OW S T	G H O S T
T ER M AH N AH L	T E R M I N A L
D IY S ER T AH F AY	D E C E R T I F Y
AE JH AH NG K T	A D J U N C T
M AO R G AH N	M O R G U N
T AE M R AE Z	T A M R A Z
D UW B EH R IY	D E W B E R R Y
R EY D IY EY SH AH N	R A D I A T I O N
K AH V AE L IY	C A V A L L I
F AA JH ER T IY	F O G E R T Y
Y UW R OW D AA L ER Z	E U R O D O L L A R S
B EH N S K IH N	B E N S K I N
M UW N Z	M O O N S
B L OW T IH NG	B L O A T I N G
N AO R W IH N	N O R W I N
D IH F Y UW Z AH Z	D I F F U S E S
P L EY N L OW D	P L A N E L O A D
AE L IH T EY L IY AH	A L I T A L I A
V AE L D EH SH AA R IY	V A L D E S H A R I
R OW L IY	R O L E Y
B IH L IH NG	B I L L I N G
HH AO R M EH L	H O R M E L
V IY L AO R IY AH	V I L O R I A
Z AA P UW L AH	Z A P P U L L A
K L AE P S AE D AH L	C L A P S A D D L E
F OY K T	F E U C H T
B ER TH M AA R K	B I R T H M A R K
R IH K S AH N	R I C K S O N
R IH P OW S T	R I P O S T E
W IH D R IH G	W I D R I G
R EH D IH K	R E D I C K
JH ER M AH N Z	G E R M A N S
B OW Z AH	B O Z A
N OW T AA R OW	N O T A R O
S ER AY AH S AH S	P S O R I A S I S
V UW L OW	V U L L O
B OW D IY	B O D E Y
S IH N D ER Z	C I N D E R S
B AA R EH T AH	B A R R E T T A
F OW N T AA N EH Z	F O N T A N E Z
OW V ER S T EY T IH D	O V E R S T A T E D
G OW T S	G O A T S
S T IH G M AH T AY Z D	S T I G M A T I Z E D
F EH N IH M AO R	F E N N I M O R E
M IH N AH M AY Z AH Z	M I N I M I Z E S
K EH M P S T ER	K E M P S T E R
W EY L ER Z	W H A L E R S
S L IH P IH NG	S L I P P I N G
M AA R S OW	M A R C E A U X
K AE NG K ER Z	C A N K E R S
AE L UW V IY AH L	A L L U V I A L
HH AY P OW N EH K S	H Y P O N E X
EH P AH L EH P S IY	E P I L E P S Y
AH B R IY V IY EY SH AH N	A B B R E V I A T I O N
L AH N D IY N	L U N D E E N
M OW Z ER	M O Z E R
AH N AE P AH L IH S	A N N A P O L I S
B ER K IY	B E R K E Y
B ER W EH L	B U R W E L L
SH OW V AE L	S H O V A L
IH W AA T AH	I W A T A
M IY T L AH S	M E A T L E S S
S AE NG K Y OW	S A N K Y O
TH R AH SH AH Z	T H R U S H E S
S AY T AA L AH JH IY	C Y T O L O G Y
HH AA K N IY	H O C K N E Y
B AA L B EH K	B A A L B E Q
L IY CH AA R D IY	L I C C I A R D I
IH L EH T	E L L E T T E
R EH R L IY	R A R E L Y
HH IH L ER IY	H I L L A R Y
V IY L AA L V AH	V I L L A L V A
EY W EY Z	A W A Y S
B R EH S T F IY D	B R E A S T F E E D
K OW L D	C O L D
V AE N V L AE K	V A N V L A C K
K IY N	K E E N E
M EH G AH B AY T S	M E G A B Y T E S
K AH S T R AH	K U S T R A
G R IY N Z	G R E E N S
IH M B EH R AH S IH NG L IY	E M B A R R A S S I N G L Y
EH N T ER IH V IH D AH S	E N T E R I V I D O U S
AO L M OW S T	A L M O S T
AA Z EY V EY D OW	A Z E V E D O
S T R AY P	S T R I P E
B AO R AA N	B O R O N
AH L IY S	E L I S E
L AA Z K AA N OW	L A Z C A N O
R IY P AH L S IH NG	R E P U L S I N G
K R AY N AH	K R A J I N A
P IY V HH AW S	P E V E H O U S E
S T AA R L AY T	S T A R L I G H T
IH SH UW D	I S S U E D
B L EY M L AH S	B L A M E L E S S
V R IY D AH N B ER G	V R E D E N B U R G
F AA N T AH	F A N T A
M AO L AH N	M A L L E N
AH N R IY CH AH B AH L	U N R E A C H A B L E
AE K S EH L S AH N	A X E L S E N
F R AH M	F R U M
B IH R	B E E R
D EH L AH SH M IH T	D E L A S H M I T
F Y ER AE SH	F U R A S H
D IH D AH K T IH D	D E D U C T E D
HH IH DH ER T UW	H I T H E R T O
L AY D ER M AH N	L E I D E R M A N
IH G Z AO R T S	E X H O R T S
HH AO R N AH K	H O R N A C K
AO R B AH T AH L	O R B I T A L
V L AE D IH V AO S T AA K	V L A D I V O S T O K
T R OY AA N OW S	T R O Y A N O S
B R IH NG M AH N	B R I N G M A N
P AY N D ER	P I N D E R
T AA F	T A A F F E
HH OW K	H O A K
F R AE N JH OW	F R A N J O
SH AH M IY Z	C H E M I S E
M AY R IH K	M Y R I C K
SH IH P B IH L D IH NG	S H I P B U I L D I N G
V AE L Z P AA R	V A L S P A R
S T AH M	S T U M M
T OW N AE L AH T IY Z	T O N A L I T I E S
